Cement (component 1)(kg in a m^3 mixture),Age (day),Water  (component 4)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture)
540.0,28,162.0,0.0,2.5,676.0,1040.0,0.0
540.0,28,162.0,0.0,2.5,676.0,1055.0,0.0
332.5,270,228.0,142.5,0.0,594.0,932.0,0.0
332.5,365,228.0,142.5,0.0,594.0,932.0,0.0
198.6,360,192.0,132.4,0.0,825.5,978.4,0.0
266.0,90,228.0,114.0,0.0,670.0,932.0,0.0
380.0,365,228.0,95.0,0.0,594.0,932.0,0.0
380.0,28,228.0,95.0,0.0,594.0,932.0,0.0
266.0,28,228.0,114.0,0.0,670.0,932.0,0.0
475.0,28,228.0,0.0,0.0,594.0,932.0,0.0
198.6,90,192.0,132.4,0.0,825.5,978.4,0.0
198.6,28,192.0,132.4,0.0,825.5,978.4,0.0
427.5,270,228.0,47.5,0.0,594.0,932.0,0.0
190.0,90,228.0,190.0,0.0,670.0,932.0,0.0
304.0,28,228.0,76.0,0.0,670.0,932.0,0.0
380.0,90,228.0,0.0,0.0,670.0,932.0,0.0
139.6,90,192.0,209.4,0.0,806.9,1047.0,0.0
342.0,365,228.0,38.0,0.0,670.0,932.0,0.0
380.0,90,228.0,95.0,0.0,594.0,932.0,0.0
475.0,180,228.0,0.0,0.0,594.0,932.0,0.0
427.5,180,228.0,47.5,0.0,594.0,932.0,0.0
139.6,28,192.0,209.4,0.0,806.9,1047.0,0.0
139.6,3,192.0,209.4,0.0,806.9,1047.0,0.0
139.6,180,192.0,209.4,0.0,806.9,1047.0,0.0
380.0,365,228.0,0.0,0.0,670.0,932.0,0.0
380.0,270,228.0,0.0,0.0,670.0,932.0,0.0
380.0,270,228.0,95.0,0.0,594.0,932.0,0.0
342.0,180,228.0,38.0,0.0,670.0,932.0,0.0
427.5,28,228.0,47.5,0.0,594.0,932.0,0.0
475.0,7,228.0,0.0,0.0,594.0,932.0,0.0
304.0,365,228.0,76.0,0.0,670.0,932.0,0.0
266.0,365,228.0,114.0,0.0,670.0,932.0,0.0
198.6,180,192.0,132.4,0.0,825.5,978.4,0.0
475.0,270,228.0,0.0,0.0,594.0,932.0,0.0
190.0,365,228.0,190.0,0.0,670.0,932.0,0.0
237.5,270,228.0,237.5,0.0,594.0,932.0,0.0
237.5,28,228.0,237.5,0.0,594.0,932.0,0.0
332.5,90,228.0,142.5,0.0,594.0,932.0,0.0
475.0,90,228.0,0.0,0.0,594.0,932.0,0.0
237.5,180,228.0,237.5,0.0,594.0,932.0,0.0
342.0,90,228.0,38.0,0.0,670.0,932.0,0.0
427.5,365,228.0,47.5,0.0,594.0,932.0,0.0
237.5,365,228.0,237.5,0.0,594.0,932.0,0.0
380.0,180,228.0,0.0,0.0,670.0,932.0,0.0
427.5,90,228.0,47.5,0.0,594.0,932.0,0.0
427.5,7,228.0,47.5,0.0,594.0,932.0,0.0
349.0,3,192.0,0.0,0.0,806.9,1047.0,0.0
380.0,180,228.0,95.0,0.0,594.0,932.0,0.0
237.5,7,228.0,237.5,0.0,594.0,932.0,0.0
380.0,7,228.0,95.0,0.0,594.0,932.0,0.0
332.5,180,228.0,142.5,0.0,594.0,932.0,0.0
190.0,180,228.0,190.0,0.0,670.0,932.0,0.0
237.5,90,228.0,237.5,0.0,594.0,932.0,0.0
304.0,90,228.0,76.0,0.0,670.0,932.0,0.0
139.6,7,192.0,209.4,0.0,806.9,1047.0,0.0
198.6,7,192.0,132.4,0.0,825.5,978.4,0.0
475.0,365,228.0,0.0,0.0,594.0,932.0,0.0
198.6,3,192.0,132.4,0.0,825.5,978.4,0.0
304.0,180,228.0,76.0,0.0,670.0,932.0,0.0
332.5,28,228.0,142.5,0.0,594.0,932.0,0.0
304.0,270,228.0,76.0,0.0,670.0,932.0,0.0
266.0,270,228.0,114.0,0.0,670.0,932.0,0.0
310.0,3,192.0,0.0,0.0,850.6,971.0,0.0
190.0,270,228.0,190.0,0.0,670.0,932.0,0.0
266.0,180,228.0,114.0,0.0,670.0,932.0,0.0
342.0,270,228.0,38.0,0.0,670.0,932.0,0.0
139.6,360,192.0,209.4,0.0,806.9,1047.0,0.0
332.5,7,228.0,142.5,0.0,594.0,932.0,0.0
190.0,28,228.0,190.0,0.0,670.0,932.0,0.0
485.0,28,146.0,0.0,0.0,800.0,1120.0,0.0
374.0,3,170.1,189.2,10.1,756.7,926.1,0.0
313.3,3,175.5,262.2,8.6,611.8,1046.9,0.0
425.0,3,153.5,106.3,16.5,887.1,852.1,0.0
425.0,3,151.4,106.3,18.6,803.7,936.0,0.0
375.0,3,126.6,93.8,23.4,992.6,852.1,0.0
475.0,3,181.1,118.8,8.9,781.5,852.1,0.0
469.0,3,137.8,117.2,32.2,840.5,852.1,0.0
425.0,3,153.5,106.3,16.5,887.1,852.1,0.0
388.6,3,157.9,97.1,12.1,925.7,852.1,0.0
531.3,3,141.8,0.0,28.2,893.7,852.1,0.0
425.0,3,153.5,106.3,16.5,887.1,852.1,0.0
318.8,3,155.7,212.5,14.3,880.4,852.1,0.0
401.8,3,147.4,94.7,11.4,852.1,946.8,0.0
362.6,3,164.9,189.0,11.6,755.8,944.7,0.0
323.7,3,183.8,282.8,10.3,659.9,942.7,0.0
379.5,3,153.9,151.2,15.9,605.0,1134.3,0.0
362.6,3,164.9,189.0,11.6,755.8,944.7,0.0
286.3,3,144.7,200.9,11.2,803.7,1004.6,0.0
362.6,3,164.9,189.0,11.6,755.8,944.7,0.0
439.0,3,186.0,177.0,11.1,707.9,884.9,0.0
389.9,3,145.9,189.0,22.0,755.8,944.7,0.0
362.6,3,164.9,189.0,11.6,755.8,944.7,0.0
337.9,3,174.9,189.0,9.5,755.8,944.7,0.0
374.0,7,170.1,189.2,10.1,756.7,926.1,0.0
313.3,7,175.5,262.2,8.6,611.8,1046.9,0.0
425.0,7,153.5,106.3,16.5,887.1,852.1,0.0
